Bias_data_mat_h21,Bias_data_mat_h22,Bias_data_mat_h23
407,83,-1.556666667
407,84,-1.766666667
407,85,-1.043333333
407,86,-0.56
407,87,-0.57
407,88,-0.783333333
407,89,-0.583333333
407,97,0.373333333000001
407,99,0.406666667
407,101,-0.216666667
407,102,0.0366666669999995
407,103,-0.373666666999999
407,104,-1.51
407,106,-2.157333333
407,107,-0.406666667
407,108,-1.169333333
407,109,-1.974666667
407,110,-0.795666667
407,112,-0.629333333
407,118,-0.191333333
407,119,-0.689666667
407,120,-1.186666667
407,121,-0.171333333
407,122,-0.056333333
407,125,-0.113333333
407,126,-0.15
407,130,-0.109666667
407,131,-0.116333333
408,38,-1.42
408,39,-0.523333333
408,40,-0.96
408,41,-2.206666667
408,42,-1.72
408,43,-1.016666667
408,44,-1.03
408,45,-0.64
408,46,-0.733333333
408,49,-0.956666667
408,52,0.58
409,38,-0.840000000000001
409,43,-0.916666667
409,44,-1.03
409,45,-0.64
409,46,-0.583333333
409,48,-0.69
409,51,0.226666667
409,52,0.930000000000001
409,53,0.636666667
409,54,-0.203333333
409,55,-0.633333333
409,56,-0.640000000000001
409,57,-0.37
409,58,-0.0800000000000001
409,59,0.396666667
411,38,-0.82
411,39,-0.253333333
411,40,-1.16
411,42,-1.24
411,43,-0.576666667
411,44,-0.94
411,45,-0.37
411,46,-0.113333333
411,47,-0.276666667
411,48,0.21
411,49,-0.076666667
411,50,0.716666667
411,51,1.056666667
411,52,0.970000000000001
411,54,-0.563333333
411,55,-0.983333333
411,56,-0.69
411,57,-0.27
411,58,-0.04
411,61,0.0899999999999999
411,62,0.0466666670000002
411,63,0.0366666670000004
411,64,-0.41
411,65,0.0433333330000005
411,66,-0.0233333330000001
411,67,-0.236666667
411,68,-0.776666667000001
411,69,-0.573333333000001
411,70,0.203333333
411,73,0.92
411,75,0.366666667
411,78,-2.54
411,79,-1.63
411,80,-1.623333333
411,81,-1.53
411,82,-0.236666667
411,83,-0.576666667
411,85,-0.733333333
411,87,-0.3
411,89,-0.143333333
411,91,0.486666667
411,92,0.659666667
411,94,0.403333333
411,95,0.18
411,96,0.176666667
411,97,0.113333333
411,98,0.143333333
411,99,0.136666667
411,100,0.133333333
411,102,-0.223333333
411,103,-0.646666667
411,104,-1.55
411,105,-2.696666667
411,106,-2.373333333
411,107,-0.826666667
411,108,-1.253333333
411,109,-1.886666667
411,110,-0.526666667
411,111,-0.273333333
