CG_h2_data1,CG_h2_data2,CG_h2_data3,CG_h2_data4
427,48,-0.24,-0.1
427,49,-0.156666667,0
427,50,0.686666667,-0.2
428,40,-1.45,-0.0800000000000001
428,41,-1.786666667,-0.760000000000001
428,42,-0.339999999999999,-2.14
428,43,-0.456666667,-0.75
428,44,-0.97,0.14
428,45,-0.0899999999999999,-1.52
428,46,-0.0233333330000001,-0.53
428,47,-0.366666667,0.0100000000000002
428,52,1.11,0.5
428,53,1.096666667,0.25
428,54,-0.833333333,1.87
428,55,-1.483333333,0.54
428,56,-1.06,-0.43
428,57,-0.800000000000001,-0.97
428,58,-0.7,-0.220000000000001
428,59,0.396666667,-0.98
428,60,-0.163333333,0.44
428,61,-0.52,0.41
428,62,-0.423333333,-0.100000000000001
428,63,-0.463333333,-0.04
428,64,-0.73,0.31
428,65,-0.756666666999999,0.04
428,66,-0.753333333,-0.0299999999999994
428,67,-0.846666667,-0.0300000000000002
428,68,-0.946666667000001,-0.54
428,69,-0.633333333,-0.0999999999999996
428,70,0.333333333,-0.98
428,71,0.21,0.2
428,72,0.653333333,-0.0200000000000005
428,73,0.619999999999999,0.49
428,74,0.503333333,0.25
428,75,0.126666667,0.64
428,76,-0.603333333,0.75
428,77,-1.153333333,-0.54
428,78,-2.34,-0.04
428,79,-1.52,-1.31
428,80,-2.013333333,-0.86
428,81,-1.71,-1.16
428,82,-0.966666667,-1.03
428,83,-0.406666667,-1.35
428,84,-0.936666667,-0.41
428,85,-0.823333333,-0.75
428,86,-0.56,-0.64
428,87,-0.81,-0.23
428,88,-0.623333333,-0.74
428,89,-0.333333333,-0.84
428,90,-0.0933333329999999,-0.31
428,91,0.056666667,-0.04
428,92,0.476666667,-0.42
428,95,0.27,0
428,96,0.326666667,0.2
428,97,0.333333333000001,0.359999999999999
428,98,0.123333333,0.0200000000000005
428,99,0.216666666999999,0
428,100,-0.0466666670000002,0.22
428,101,0.0833333329999997,0.16
428,102,-0.0533333330000003,-0.21
428,103,-0.741666667,0.415
428,106,-2.763333333,-0.61
428,109,-1.856666667,0.58
428,110,-0.786666667,-1.27
428,111,0.126666667,-1.44
428,112,-0.253333333,0.16
428,115,-0.133333333,0
428,116,-0.153333333,-0.43
428,117,-0.163333333,-0.39
428,118,-0.333333333,-0.37
428,119,-0.336666667,-0.09
428,124,0.019666667,0.087
428,125,-0.00333333299999999,0.0235
428,126,-0.07,0.01
428,127,-0.186666667,0.01
428,130,-0.026666667,-0.1
428,131,-0.033333333,0
428,132,-0.026666667,-0.02
428,133,-0.023333333,0
428,134,-0.05,-0.01
428,135,-0.117,-0.013
428,136,-0.296666667,-0.156
428,137,-0.283333333,-0.181
428,138,-0.333333333,-0.26
428,147,0.3,-0.01
428,148,0.123966667,0.1327
428,149,-0.118433333,-0.244
428,150,-0.2571,-0.2145
429,40,-0.97,-0.51
429,41,-1.596666667,-0.0599999999999996
429,42,-1,-1.01
429,43,-0.956666667,-0.7
429,44,-1.19,0.109999999999999
429,45,-0.5,-0.89
429,46,-0.493333333,-0.14
429,47,-0.146666667,-0.5
429,48,0.11,-0.47
429,49,0.113333333,0.27
429,50,0.826666667,0.1
429,51,1.126666667,0.11
429,52,1.46,0.39
429,53,1.496666667,0.53
429,56,-0.32,-1.26
429,57,-0.54,-0.12
429,58,-0.31,-0.04
429,61,-0.0600000000000005,-0.0700000000000003
429,62,0.0366666670000004,-0.13
429,63,-0.0333333329999999,0.0700000000000003
429,64,-0.37,0.36
429,65,-0.096666667,-0.319999999999999
429,66,-0.483333333,0.29
429,67,-0.216666667,-1.31
429,68,-0.756666667,-0.0200000000000005
429,69,-0.603333333,0
429,70,0.843333333,-1.39
429,71,0.19,0.98
429,72,0.563333332999999,0.0200000000000005
429,75,-0.403333333,0.88
429,80,-1.373333333,-1.48
429,81,-1.46,-0.17
429,82,0.233333333,-2.19
429,83,-0.236666667,0.23
429,84,-0.816666667,-0.3
429,85,-0.723333333,-0.57
429,86,-0.27,-1.13
429,87,-0.31,-0.53
429,88,-0.303333333,-0.64
429,89,-0.433333333,-0.0499999999999998
429,90,-0.293333333,-0.41
429,91,0.126666667,-0.47
429,92,0.386666667,-0.0999999999999999
429,93,0.406666667,0.0699999999999998
429,94,0.593333333,-0.1
429,95,0.38,0.52
429,98,0.373333333,0.4
429,99,0.396666667,0.0899999999999999
429,100,-0.0466666670000002,0.47
429,101,0.0633333330000001,0
429,102,-0.113333333,-0.0500000000000007
429,105,-2.776666667,0.0100000000000007
429,106,-1.993333333,-1.2
429,131,-0.127333333,-0.00900000000000001
429,132,-0.124666667,-0.046
429,135,-0.268,0.002
429,136,-0.232666667,-0.176
429,143,0.150166667,-0.00160000000000005
429,144,-0.0875333330000001,0.2689
431,40,-0.86,0.100000000000001
431,45,-0.44,-0.3
431,46,-0.283333333,-0.25
431,47,-0.096666667,-0.15
431,48,0.0600000000000001,-0.1
431,49,0.243333333,0
431,50,0.786666667,0.2
